Action,Campaign,Ad Group,Status,Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Keyword,Match Type
Add,East Bay Projects - Approved Search Ads,,Paused,Campaign,,,,,,,,,,,,,,,,,,,
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Paused,Ad Group,,,,,,,,,,,,,,,,,,,
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Paused,Responsive search ad,Websites for Federal Firms,GovCon Website Specialists,Build Buyer Confidence,Look Ready for the Next Bid,"Clear Scope, Fast Delivery",Senior-Led Website Work,Strengthen Your Credibility,Built for GovCon Growth,Modernize Your Web Presence,Talk Directly With Nate,"Credibility-first websites for federal contractors, built with clear scope and timing.","Present your capabilities clearly to buyers, partners, recruits, and teaming firms.",Work directly with a senior engineer. No agency layers or vague deliverables.,Get a useful response within one business day and a focused recommendation.,federal,websites,https://eastbayprojects.com/contact,,
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Paused,Responsive search ad,"Small GovCon, Strong Presence",Compete With a Credible Site,Built for Federal Contractors,Show Buyers You Are Ready,A Website Worth Sharing,Support Your Next Pursuit,"Clear Message, Clear Next Step","Experienced, Senior-Led Work",Practical GovCon Web Design,Get a Fixed-Scope Plan,Give a growing federal contractor the credible public presence it needs to compete.,"Clarify capabilities, differentiators, leadership, contract vehicles, and contact paths.",Senior-led strategy and implementation without a large-agency process or overhead.,"Start with a focused recommendation based on your goals, timeline, and current site.",govcon,growth,https://eastbayprojects.com/contact,,
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Enabled,Keyword,,,,,,,,,,,,,,,,,,govcon website design,Phrase
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Enabled,Keyword,,,,,,,,,,,,,,,,,,federal contractor website,Phrase
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Enabled,Keyword,,,,,,,,,,,,,,,,,,govcon web development,Phrase
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Enabled,Keyword,,,,,,,,,,,,,,,,,,government contractor website,Exact
Add,East Bay Projects - Approved Search Ads,GovCon & Federal Contractor Websites,Enabled,Keyword,,,,,,,,,,,,,,,,,,govcon web design,Exact
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Paused,Ad Group,,,,,,,,,,,,,,,,,,,
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Paused,Responsive search ad,Defense Contractor Websites,Credibility for Mission Firms,Make Technical Work Clear,A Stronger Public Presence,Built for Buyers and Partners,Senior-Led Website Delivery,"Clear Scope, No Agency Layers",Present Your Mission Clearly,Modernize Your Defense Site,Start With a Direct Review,"A clear, credible website for defense firms presenting complex technical capabilities.","Support buyers, partners, and candidates with focused content and practical structure.",Work directly with an experienced engineer from initial review through delivery.,"No compliance theater or inflated promises—just thoughtful, security-conscious work.",defense,websites,https://eastbayprojects.com/contact,,
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Paused,Responsive search ad,Recruiting Starts With Trust,Websites for Cleared Hiring,Show Candidates the Mission,Make Open Roles Easier to Find,Defense Recruiting Websites,Build Candidate Confidence,Show Culture Without the Fluff,Senior-Led Web Engineering,"Fast, Focused Website Delivery",Improve Your Recruiting Path,"Help cleared candidates understand your mission, culture, roles, and hiring process.",Create a credible recruiting path without turning your site into generic employer copy.,"Improve role discovery, mobile usability, page speed, and applicant handoffs.",Work directly with a senior engineer on a clearly scoped recruiting-site upgrade.,defense,recruiting,https://eastbayprojects.com/contact,,
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Enabled,Keyword,,,,,,,,,,,,,,,,,,defense contractor website,Phrase
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Enabled,Keyword,,,,,,,,,,,,,,,,,,defense firm web design,Phrase
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Enabled,Keyword,,,,,,,,,,,,,,,,,,defense contractor web design,Exact
Add,East Bay Projects - Approved Search Ads,Defense Credibility & Recruiting,Enabled,Keyword,,,,,,,,,,,,,,,,,,cleared recruitment website,Exact
Add,East Bay Projects - Approved Search Ads,DMV Senior-Led Delivery,Paused,Ad Group,,,,,,,,,,,,,,,,,,,
Add,East Bay Projects - Approved Search Ads,DMV Senior-Led Delivery,Paused,Responsive search ad,Washington DC Web Design,"Senior Engineer, Direct Access",Websites for Serious DC Firms,Clear Scope Before We Start,"Fast, Focused Web Delivery",No Large Agency Runaround,Strengthen Your Web Presence,Fix the Problems That Matter,Built for Trust and Leads,Get a Useful Response Fast,"Direct, senior-led website work for DC firms with no layers between you and delivery.","Modernize, repair, or rebuild with clear scope, milestones, and practical decisions.","Improve credibility, usability, speed, mobile experience, and contact paths.",Describe the problem and receive a focused recommendation within one business day.,dc,websites,https://eastbayprojects.com/contact,,
